antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'pastry'}),frozenset({'whole milk'}),0.0517275947336764,0.15792287642852368,0.006482657221145492,0.12532299741602068,0.7935708888429613,1.0,-0.001686313329925639,0.9627292372885121,-0.21526566181115744,0.03190789473684211,-0.03871364997333987,0.08318625537326638
frozenset({'salty snack'}),frozenset({'whole milk'}),0.018779656485998796,0.15792287642852368,0.0019381140145692708,0.10320284697508897,0.6535015655049752,1.0,-0.00102762335603924,0.9389828242999398,-0.35080368496647113,0.011089866156787764,-0.06498220640569392,0.05773769094416742
frozenset({'salty snack'}),frozenset({'rolls/buns'}),0.018779656485998796,0.11000467820624206,0.0019381140145692708,0.10320284697508897,0.938167800296632,1.0,-0.0001277360539967932,0.9924154183493888,-0.06294112598128855,0.01527924130663857,-0.007642547173668521,0.060410657995442416
frozenset({'salty snack'}),frozenset({'other vegetables'}),0.018779656485998796,0.12210118291786407,0.002205440085544343,0.11743772241992884,0.96180659034997,1.0,-8.757818618724839e-05,0.9947159983874201,-0.03889596400814089,0.015903614457831325,-0.005312070602208042,0.06775005989633552
frozenset({'yogurt'}),frozenset({'whole milk'}),0.08587850030074183,0.15792287642852368,0.011160863463209249,0.1299610894941634,0.8229402378760758,1.0,-0.002401316327651736,0.9678614524054983,-0.190524689389268,0.047974719908072394,-0.03320573157927244,0.10031698148004828
"frozenset({'whole milk', 'yogurt'})",frozenset({'other vegetables'}),0.011160863463209249,0.12210118291786407,0.0011361358016440553,0.10179640718562874,0.8337053315372539,1.0,-0.00022661882959856307,0.9773940163514446,-0.1678565520891918,0.008598887202832575,-0.023128833684640467,0.05555063927973282
"frozenset({'yogurt', 'other vegetables'})",frozenset({'whole milk'}),0.008086613646995923,0.15792287642852368,0.0011361358016440553,0.14049586776859505,0.8896486116891612,1.0,-0.00014092548605569512,0.9797243456937369,-0.1111510360522218,0.006890960680989057,-0.020695264331627945,0.0738450561864558
"frozenset({'whole milk', 'yogurt'})",frozenset({'rolls/buns'}),0.011160863463209249,0.11000467820624206,0.0013366303548753592,0.11976047904191618,1.0886853267947703,1.0,0.0001088831611012215,1.0110831206772626,0.08238037307380382,0.011154489682097044,0.010961631591513997,0.06595557366433598
"frozenset({'yogurt', 'rolls/buns'})",frozenset({'whole milk'}),0.007819287576020852,0.15792287642852368,0.0013366303548753592,0.17094017094017094,1.0824281751069733,1.0,0.00010178596924832772,1.0157012727614716,0.07675131348511383,0.008130081300813009,0.015458553791887144,0.08970199406085991
frozenset({'sausage'}),frozenset({'whole milk'}),0.06034886052262247,0.15792287642852368,0.008955423377664907,0.14839424141749724,0.9396627314134623,1.0,-0.0005750422652514124,0.9888109786541524,-0.06396454269627133,0.04278416347381865,-0.01131563219603084,0.10255090826693737
